artwork - UNIQUE_KEY,artwork - DATE_EXECUTION_DATATION_TXT
251275,1752 - 1754
251287,1752 - 1754
250839,1757 - 1758
254541,19e siècle
251937,18e siècle
251947,
232198,
251408,1760
251892,18e siècle
251899,
251913,Vers 1750
229744,4e quart du 18e siècle
250784,1753 - 1754
251848,18e siècle
229794,1620
250785,1753 - 1754
251362,1774
251371,1777
229173,16e siècle
229200,18e siècle
251374,1780
251659,1766
251159,1780
251283,1752 - 1754
232193,19e siècle
250897,1760
251375,1780
251926,19e siècle
251928,18e siècle
251930,18e siècle
251547,1765
251808,18e siècle
251810,18e siècle
253628,
251324,Vers 1753
251331,1787
251338,1789
251363,1774
251364,1774
250903,1760
251369,1775
251528,1770
251530,1770
251593,1755 - 1756
251330,1755
251114,1771
251121,1772
251446,1767
251812,18e siècle
254315,19e siècle
254319,19e siècle
251009,1767
251964,18e siècle
251966,18e siècle
251422,1786
251431,1770
250969,1765
251335,1757 - 1758
251455,1770
251456,1781
251821,18e siècle
251822,
229132,19e siècle
254542,19e siècle
251967,18e siècle
251971,19e siècle
251933,18e siècle
229123,19e siècle
250789,1754 - 1755
250792,1754 - 1755
229323,2e quart du 18e siècle - 4e quart du 18e siècle
250794,1754 - 1755
251079,1772
251135,1774
251288,1752 - 1754
251322,Vers 1753
250756,1766
254577,1766
251372,1780
251640,1763
251727,4e quart du 18e siècle
251745,1770
250761,1770
250762,1770
254324,19e siècle
250951,1763
250973,1765
250743,1754 - 1755
251007,1768
229374,1ère moitié du 18e siècle
251458,1786
251532,1771
251534,1771
251273,1752 - 1754
251814,
229474,17e siècle
250999,1766
251011,1768
251013,1773
251014,1773
251932,18e siècle
251377,1780
251381,1783
251461,1770
251475,1765
251503,1766
251535,1771
250983,1765
250984,1765
251337,1789
251349,1768
251736,
250986,1765
250924,1760
250935,1761
251068,1770
251000,1766
251188,1782
251749,18e siècle
251855,18e siècle
251859,18e siècle
229489,17e siècle
250904,1760
250912,1760
250914,1760
251062,1770
251360,1773
254621,1ère moitié du 15e siècle
250800,1755 - 1756
250812,1756 - 1757
232194,16e siècle
251201,1785
251642,1764
251828,18e siècle - 19e siècle
251842,18e siècle
251151,1777
251885,
251915,18e siècle
229124,19e siècle
250787,1754 - 1755
229393,1ère moitié du 18e siècle
251940,18e siècle
251942,18e siècle
251944,18e siècle
251064,1770
251393,1797
251398,1764
250952,1763
251644,1764
251156,1780 - 1785
