"Nom, Prénom",mapping,infoIndexationBK_ACA,mapping_OnlyName,mapping_OnlyName_v2,Année,Pays,Section,Groupe,Jury,Œuvre description,Œuvre reproduction,Courrier,Dossier sur l'artiste,Prix,Lieu
"ALLARD, DOMINIQUE","allard, dominique",1963,allard,allard,1963,France,PEINT,,JA,Oui,Non,Non,Non,Non,ACA
"ALLEMAND, JEAN","allemand, jean",1971,allemand,allemand,1971,France,TE,,CG,Oui,Oui,Non,Non,Non,ACA
"ALLEN, TERRY","allen, terry",,allen,allen,1977,ETATS-UNIS,AP,,,Oui,Oui,Oui,Oui,Non,BK
"ALLEYN, EDMUND","alleyn, edmund",1963,alleyn,alleyn,1963,CANADA,PEINT,,,Oui,Non,Non,Oui,Non,ACA
"ALLIER, JACQUES","allier, jacques",,allier,allier,1971,France,ARCHI/TE,,,Non,Non,Non,Non,Non,ACA
"ALMASANU, VIRGIL","almasanu, virgil",,almasanu,almasanu,1959,ROUMANIE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ALMEIDA PRADO, JOSE ANTONIO DE","almeida prado, jose antonio de",,almeida prado,almeida prado,1969,BRESIL,COMPO/MUS,,,Oui,Non,Non,Non,Non,ACA
"ALMON, CARMEN","almon, carmen",,almon,almon,1975,ETATS-UNIS,PEINT,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"ALMY, MAX","almy, max",1980,almy,almy,1980,ETATS-UNIS,VIDEO,,,Oui,Non,Non,Oui,Non,ACA/BK
"ALOCCO, MARCEL","alocco, marcel","1971, 1971",alocco,alocco,1971,France,INTER,,CG,Oui,Oui,Oui,Non,Non,ACA
"ALOCCO, MARCEL","alocco, marcel","1971, 1971",alocco,alocco,1971,France,ENVOIS,,,Oui,Non,Non,Non,Non,ACA
"ALOK, ERSIN","alok, ersin",1967,alok,alok,1967,TURQUIE,PHOTO,,,Oui,Oui,Oui,Non,Oui,ACA
"ALONSO, BERNAOLA CARMELO","alonso, bernaola carmelo",,alonso,alonso,1963,ESPAGNE,COMPO/MUS,,,Oui,Non,Non,Non,Non,ACA
"ALONSO, CARLOS","alonso, carlos",1963,alonso,alonso,1963,ARGENTINE,PEINT,,,Oui,Non,Non,Non,Non,ACA
"ALPHONSUS, LUIS","alphonsus, luis",,alphonsus,alphonsus,1975,BRESIL,FILM,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"ALSOP, WILLIAM","alsop, william",1982,alsop,alsop,1982,GRANDE-BRETAGNE,ARCHI/TE,,,Non,Oui,Non,Non,Non,ACA
"ALSTER, MARIAN","alster, marian",1971,alster,alster,1971,France,TE,,CG,Oui,Non,Non,Non,Non,ACA
"ALTAMIRANO, CARLOS","altamirano, carlos",,altamirano,altamirano,1982,CHILI,PHOTO,CHILI,,Non,Non,Non,Non,Non,Non identifié
"ALTAN, OZDEMIR","altan, ozdemir","1963, 1965",altan,altan,1963,TURQUIE,PEINT,,,Oui,Oui,Non,Non,Non,ACA
"ALTAN, OZDEMIR","altan, ozdemir","1963, 1965",altan,altan,1965,TURQUIE,GV,,,Oui,Non,Non,Non,Non,ACA
"ALTER, IMAGO","alter, imago",,alter,alter,1982,YOUGOSLAVIE,AP,,,Oui,Oui,Oui,Oui,Non,ACA/BK
"ALTHAUS, PETER","althaus, peter",,althaus,althaus,1969,SUISSE,TE,,,Oui,Non,Oui,Non,Oui,ACA
"ALTMAN, HAROLD","altman, harold",1959,altman,altman,1959,ETATS-UNIS,PEINT,,,Oui,Oui,Non,Non,Non,ACA
